Date/Time,TSP,WSP,CONTROL,CHANNEL 1,CHANNEL 2,CHANNEL 3,CHANNEL 4,CHANNEL 5,CHANNEL 6,CHANNEL 7,CHANNEL 8
42767.4141139236,300,300,72.5048370361328,75.3932495117188,75.195930480957,69.9706420898438,69.1463165283203,69.384635925293,69.3899917602539,69.7840194702148,69.9050750732422
42767.4143521643,300,300,72.3967590332031,75.3400955200195,75.1424102783203,69.9757690429688,69.1100234985352,69.37109375,69.4442596435547,69.7363739013672,69.9070129394531
42767.4147096181,73.4772338867188,73.4772338867188,72.4877700805664,75.4132690429688,75.1716461181641,69.976692199707,69.1792678833008,69.3972015380859,69.4009399414063,69.7416839599609,69.8901596069336
42767.4150680093,76.0790100097656,76.0790100097656,72.5573348999023,75.3876037597656,75.167121887207,69.9951705932617,69.1065826416016,69.3636627197266,69.4231872558594,69.7559814453125,69.8739852905273
42767.4154241435,78.680778503418,78.680778503418,72.5419921875,75.4584274291992,75.1939926147461,70.0335388183594,69.2448883056641,69.3867797851563,69.5077056884766,69.8073348999023,69.9202346801758
42767.4157829630,81.2930908203125,81.2930908203125,72.5101623535156,75.4367294311523,75.2553329467773,70.083122253418,69.2097244262695,69.4302368164063,69.5476989746094,69.9046249389648,70.0261459350586
42767.4161390625,82.6308441162109,82.6308441162109,72.4914932250977,75.4535675048828,75.2237854003906,70.119255065918,69.2835235595703,69.5176391601563,69.6151733398438,69.99853515625,70.1049880981445
42767.4164976852,82.6308441162109,82.6308441162109,72.5499496459961,75.4393768310547,75.2476272583008,70.0858764648438,69.2492752075195,69.5007705688477,69.6179580688477,69.9401779174805,70.1380462646484
42767.4168548264,82.6308441162109,82.6308441162109,72.5846862792969,75.4253463745117,75.2101364135742,70.052619934082,69.2443389892578,69.5161285400391,69.5744934082031,69.9570846557617,70.0213623046875
42767.4172136227,82.7045745849609,82.7045745849609,72.6927490234375,75.377571105957,75.1645584106445,70.0431289672852,69.2640533447266,69.4393463134766,69.5739898681641,69.8798904418945,69.9840316772461
42767.4175700463,84.8007431030273,84.8007431030273,84.5619964599609,75.4279098510742,75.8324661254883,70.0752258300781,69.3598175048828,69.5571670532227,69.6109619140625,69.9953842163086,70.0803909301758
42767.4179271296,87.4025115966797,87.4025115966797,91.2631301879883,75.805793762207,76.6222381591797,70.0926055908203,69.3068923950195,69.538459777832,69.6240615844727,70.0338973999023,70.1281204223633
42767.4182847685,90.0042877197266,90.0042877197266,95.354118347168,76.0779647827148,77.2121429443359,70.1234588623047,69.3582534790039,69.5663070678711,69.6707153320313,70.063117980957,70.176383972168
42767.4186395949,91.7317810058594,91.7317810058594,98.2330169677734,76.4081649780273,77.8765716552734,70.2182388305664,69.4628219604492,69.6263122558594,69.7086639404297,70.0772018432617,70.2069091796875
42767.4188818056,94.354621887207,94.354621887207,100.908233642578,76.7106552124023,78.2913589477539,70.2167663574219,69.5135269165039,69.6130523681641,69.7764663696289,70.0973205566406,70.2046813964844
42767.4192379282,96.9458618164063,96.9458618164063,103.290519714355,77.1100158691406,79.0275344848633,70.2776260375977,69.5649261474609,69.732063293457,69.8835220336914,70.1826782226563,70.3174209594727
42767.4195940394,99.5371017456055,99.5371017456055,105.123413085938,77.5869598388672,79.8257827758789,70.4326248168945,69.7062759399414,69.8260116577148,70.0324554443359,70.3415145874023,70.4357681274414
42767.4199524537,102.149406433105,102.149406433105,106.815994262695,78.1250228881836,80.4734115600586,70.4084930419922,69.6446685791016,69.8371658325195,70.0529861450195,70.3447875976563,70.4157104492188
42767.4203101157,104.751174926758,104.751174926758,108.296691894531,78.6114501953125,81.2921447753906,70.4366989135742,69.6827621459961,69.8119354248047,70.0227508544922,70.3508682250977,70.4489974975586
42767.4206718171,107.384552001953,107.384552001953,109.755462646484,79.0895538330078,82.0368041992188,70.4598693847656,69.7019424438477,69.8189315795898,70.0199127197266,70.3225555419922,70.4191131591797
42767.4210277315,109.975784301758,109.975784301758,111.315567016602,79.656623840332,82.8108901977539,70.379524230957,69.6459426879883,69.7929458618164,69.945556640625,70.2613983154297,70.3165817260742
42767.4213862153,112.588096618652,112.588096618652,112.836807250977,80.1997146606445,83.6216583251953,70.4070129394531,69.5917663574219,69.753662109375,69.9267959594727,70.2621154785156,70.3234176635742
42767.4217450116,115.200401306152,115.200401306152,114.401832580566,80.8431396484375,84.4813919067383,70.4202117919922,69.6635284423828,69.801139831543,69.9400482177734,70.3319931030273,70.3695373535156
42767.4221029861,117.802177429199,117.802177429199,116.318389892578,81.4324111938477,85.381591796875,70.3908920288086,69.5853805541992,69.7069625854492,69.9189224243164,70.2794876098633,70.3163452148438
42767.4224590972,120.393417358398,120.393417358398,118.095405578613,82.086067199707,86.3501358032227,70.3891067504883,69.6270980834961,69.774658203125,69.9044799804688,70.3084564208984,70.393669128418
42767.4226973380,122.131439208984,122.131439208984,119.49560546875,82.5134735107422,86.937873840332,70.3855514526367,69.6446838378906,69.7807388305664,69.9234237670898,70.3171844482422,70.3384323120117
42767.4230532407,124.722679138184,124.722679138184,121.424674987793,83.1987838745117,87.8741455078125,70.3529968261719,69.6021881103516,69.7247543334961,69.8683624267578,70.2175903320313,70.297233581543
42767.4234108912,127.324447631836,127.324447631836,123.674858093262,83.8759307861328,88.856803894043,70.4328994750977,69.5475311279297,69.7556076049805,69.8517913818359,70.2148818969727,70.2367630004883
42767.4237681597,129.926223754883,129.926223754883,125.931457519531,84.6415481567383,89.8963851928711,70.4262084960938,69.5956802368164,69.7407073974609,69.8835678100586,70.2273330688477,70.3289184570313
